Название файла-источника	Возраст ребенка	ID говорящего	Реплика	Слово-ошибка	Правильная форма	Лемма	Морфологический разбор
T160.cha	2;02.20	rus|ruslan-m|CHI|2;02.20|female|||Target_Child|||	ой , таптае [: тапки] [*] .	таптае	тапки	таптай	S,муж,неод=им,мн
T160.cha	2;02.20	rus|ruslan-m|CHI|2;02.20|female|||Target_Child|||	тапта [: тапки] [*] .	тапта	тапки	тапта	S,жен,неод=им,ед
T160.cha	2;02.20	rus|ruslan-m|CHI|2;02.20|female|||Target_Child|||	тапта [: тапки] [*] .	тапта	тапки	тапта	S,жен,неод=им,ед
T160.cha	2;02.20	rus|ruslan-m|CHI|2;02.20|female|||Target_Child|||	тапта [: тапки] [*] .	тапта	тапки	тапта	S,жен,неод=им,ед
T160.cha	2;02.20	rus|ruslan-m|CHI|2;02.20|female|||Target_Child|||	тапта [: тапок] [*] нет .	тапта	тапок	тапта	S,жен,неод=им,ед
T160.cha	2;02.20	rus|ruslan-m|CHI|2;02.20|female|||Target_Child|||	тапта [: тапок] [*] .	тапта	тапок	тапта	S,жен,неод=им,ед
T164.cha	2;02.26	rus|ruslan-m|CHI|2;02.26|female|||Target_Child|||	няняня [: няня] [*] .	няняня	няня	няняня	S,жен,од=им,ед
T171.cha	2;03.22	rus|ruslan-m|CHI|2;03.22|female|||Target_Child|||	фапка [: шапку] [*] .	фапка	шапку	фапка	S,жен,неод=вин,ед
T182.cha	2;04.15	rus|ruslan-m|CHI|2;04.15|female|||Target_Child|||	Дёсь [: Джорджа] [*] нет .	Дёсь	Джорджа	джордж	S,имя,муж,од=род,ед
T182.cha	2;04.15	rus|ruslan-m|CHI|2;04.15|female|||Target_Child|||	Дёсь [: Джордж] , бибика [: машинки] [*] нет .	бибика	машинки	бибик	S,жен,неод=им,ед
T182.cha	2;04.15	rus|ruslan-m|CHI|2;04.15|female|||Target_Child|||	нет Митя [: Мити] [*] .	Митя	Мити	митя	S,имя,муж,од=род,ед
T182.cha	2;04.15	rus|ruslan-m|CHI|2;04.15|female|||Target_Child|||	нет Митя [: Мити] [*] .	Митя	Мити	митя	S,имя,муж,од=род,ед
T182.cha	2;04.15	rus|ruslan-m|CHI|2;04.15|female|||Target_Child|||	нет Митя [: Мити] [*] .	Митя	Мити	митя	S,имя,муж,од=род,ед
T183.cha	2;04.15	rus|ruslan-m|CHI|2;04.15|female|||Target_Child|||	Тося в [: с] [*] няней [?] .	в	с	тося	S,имя,жен,од=им,ед
T183.cha	2;04.15	rus|ruslan-m|CHI|2;04.15|female|||Target_Child|||	неть [: нет] дось [: дождя] [*] .	дось	дождя	дось	S,муж,неод=род,ед
T183.cha	2;04.15	rus|ruslan-m|CHI|2;04.15|female|||Target_Child|||	дось [: дождя] [*] неть [: нет] .	дось	дождя	дось	S,муж,неод=род,ед
T189.cha	2;04.12	rus|ruslan-m|CHI|2;04.12|female|||Target_Child|||	Варик [: Варин] [*] .	Варик	Варин	варик	S,имя,муж,од=им,ед
T23.cha	1;01.16	rus|ruslan-m|NAN||female|||Nurse|||	а что у нас [: мы] [*] с тобой голо [: голопятки] +//.	нас	мы	голопятка	S,жен,од=им,мн
T23.cha	1;01.16	rus|ruslan-m|NAN||female|||Nurse|||	мадан [: чемодан] [*] .	мадан	чемодан	мадан	S,муж,неод=им,ед
T24.cha	1;01.21	rus|ruslan-m|NAN||female|||Nurse|||	попила водичка [: водички] [*] из бочки .	водичка	водички	водичка	S,жен,неод=им,ед
T24.cha	1;01.21	rus|ruslan-m|NAN||female|||Nurse|||	тут зайчик мимо прискакал [: проскакал] [*].	прискакал	проскакал	зайчик	S,муж,од=им,ед
T24.cha	1;01.21	rus|ruslan-m|NAN||female|||Nurse|||	малинки [: малинка] [*] !	малинки	малинка	малинка	S,жен,неод=им,мн
T24.cha	1;01.21	rus|ruslan-m|NAN||female|||Nurse|||	я люблю пирогов [: пироги] [*] !	пирогов	пироги	пирог	S,муж,неод=вин,мн
T26.cha	1;01.21	rus|ruslan-m|NAN||female|||Nurse|||	в коробочек [: коробочку] [*] , да ?	коробочек	коробочку	коробочка	S,жен,неод=вин,ед
T26.cha	1;01.21	rus|ruslan-m|NAN||female|||Nurse|||	не ложись на краюшки [: краюшке] [*] .	краюшки	краюшке	краюшек	S,муж,неод=пр,ед
T27.cha	1;02.09	rus|ruslan-m|NAN||female|||Nurse|||	око , оконечко [: окошечко] [*] закроем .	оконечко	окошечко	око	S,сред,неод=вин,ед
T31.cha	1;02.23	rus|ruslan-m|NAN||female|||Nurse|||	одеть [: надеть] [*] безрукавочку на тебя ?	одеть	надеть	безрукавочка	S,жен,неод=вин,ед
T31.cha	1;02.23	rus|ruslan-m|NAN||female|||Nurse|||	оденем [: наденем] [*] безрукавочку ?	оденем	наденем	безрукавочка	S,жен,неод=вин,ед
T31.cha	1;02.23	rus|ruslan-m|NAN||female|||Nurse|||	Тося , што [: что] одела [: надела] [*] ?	одела	надела	Тося	S,имя,жен,од=им,ед
T31.cha	1;02.23	rus|ruslan-m|NAN||female|||Nurse|||	вот вторая тут рукава [: рукав] [*] .	рукава	рукав	рукав	S,муж,неод=им,ед
T32.cha	1;02.23	rus|ruslan-m|NAN||female|||Nurse|||	платьюшко одето [: надето] [*] , да ?	одето	надето	платьишко	S,сред,неод=им,ед
T37.cha	1;03.06	rus|ruslan-m|NAN||female|||Nurse|||	на лапки носочки одень [: надень] [*] .	одень	надень	лапка	S,муж,неод=вин,мн
T37.cha	1;03.06	rus|ruslan-m|NAN||female|||Nurse|||	ну надо носочки одеть [: надеть] [*] .	одеть	надеть	носочек	S,муж,неод=им,мн
T37.cha	1;03.06	rus|ruslan-m|NAN||female|||Nurse|||	и одевай [: надевай] [*] носочки .	одевай	надевай	носочек	S,муж,неод=вин,мн
T37.cha	1;03.06	rus|ruslan-m|NAN||female|||Nurse|||	можешь сама одеть [: надеть] [*] носочки ?	одеть	надеть	носочек	S,муж,неод=вин,мн
T38.cha	1;03.06	rus|ruslan-m|NAN||female|||Nurse|||	пальцы прищимишь [: прищемишь] [*] там .	прищимишь	прищемишь	палец	S,муж,неод=вин,мн
T40.cha	1;03.06	rus|ruslan-m|NAN||female|||Nurse|||	Тось , кого ката [: катаешь] [*] +...	ката	катаешь	тося	S,имя,жен,од=зват,ед
T49.cha	1;04.25	rus|ruslan-m|CHI|1;04.25|female|||Target_Child|||	аам [: мам] [*] [?] .	аам	мам	аам	S,жен,од=зват,ед
T49.cha	1;04.25	rus|ruslan-m|CHI|1;04.25|female|||Target_Child|||	Арара [: Варя] [*] !	Арара	Варя	арара	S,имя,жен,од=им,ед
T49.cha	1;04.25	rus|ruslan-m|CHI|1;04.25|female|||Target_Child|||	Арара [: Варя] [*] .	Арара	Варя	арара	S,имя,жен,од=им,ед
T49.cha	1;04.25	rus|ruslan-m|CHI|1;04.25|female|||Target_Child|||	Аряря [: Варя] [: января] [*] .	Варя]	января	варя	S,имя,жен,од=им,ед
T49.cha	1;04.25	rus|ruslan-m|NAN||female|||Nurse|||	на том конце воздушнего [: воздушного] [*] моста .	воздушнего	воздушного	конец	S,муж,неод=пр,ед
T51.cha	1;06.05	rus|ruslan-m|CHI|1;06.05|female|||Target_Child|||	Ряря [: Варя] [*] .	Ряря	Варя	ряря	S,имя,жен,од=им,ед
T52.cha	1;06.05	rus|ruslan-m|CHI|1;06.05|female|||Target_Child|||	бе [: белка] [*] .	бе	белка	белка	S,жен,од=им,ед
T52.cha	1;06.05	rus|ruslan-m|CHI|1;06.05|female|||Target_Child|||	бе [: белка] [*] .	бе	белка	белка	S,жен,од=им,ед
T52.cha	1;06.05	rus|ruslan-m|CHI|1;06.05|female|||Target_Child|||	зе [: звезда] [*] .	зе	звезда	звезда	S,жен,неод=им,ед
T60.cha	1;06.26	rus|ruslan-m|CHI|1;06.26|female|||Target_Child|||	раба [: рыба] [*] .	раба	рыба	раба	S,жен,од=им,ед
T73.cha	1;07.22	rus|ruslan-m|CHI|1;07.22|female|||Target_Child|||	няра [: няня] [*] [?] !	няра	няня	няра	S,жен,од=им,ед
T98.cha	1;09.18	rus|ruslan-m|CHI|1;09.18|female|||Target_Child|||	дедис [: дети] [*] [?] .	дедис	дети	дедис	S,муж,од=им,мн
T123.cha	1;11.25	rus|ruslan-m|NAN||female|||Nurse|||	мы за мячивом [: мячиком] [*] , мы за мячиком бегаем .	мячивом	мячиком	бегать	V,несов,нп=наст,мн,изъяв,1-л
T126.cha	1;11.26	rus|ruslan-m|CHI|1;11.26|female|||Target_Child|||	дам-дам [: дай-дай] [*] , ну няня .	дам-дам	дай-дай	давать	V,пе=буд,ед,изъяв,1-л,сов
T189.cha	2;04.12	rus|ruslan-m|CHI|2;04.12|female|||Target_Child|||	нясёй [: нашла] [*] .	нясёй	нашла	находить	V=прош,ед,изъяв,жен,сов,пе
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	я не наю [: знаю] [*] какую [:: такую] [*] песенку .	наю@ц	знаю	знать	V,несов,пе=наст,ед,изъяв,1-л
T199.cha	2;06.18	rus|ruslan-m|NAN||female|||Nurse|||	ты за [: забыла] [*] , ты за [: забыла] [*] +...	за	забыла	забывать	V,сов,пе=прош,ед,изъяв,2-л,жен
T199.cha	2;06.18	rus|ruslan-m|NAN||female|||Nurse|||	ты за [: забыла] [*] , ты за [: забыла] [*] +...	за	забыла	забывать	V,сов,пе=прош,ед,изъяв,2-л,жен
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	я ложу [:: ложусь] [*] пат [: спать] [*] .	пат@ц	спать	ложиться	V,несов,нп=наст,ед,изъяв,1-л
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	во [: вот] , лесит [: лежит] [*] .	лесит@ц	лежит	лесивать	V,несов,нп=наст,ед,изъяв,3-л
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	азям мне пат [: спать] [*] .	пат@ц	спать	спать	V,нп=инф,несов
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	никто не мусет [: может] [*] .	мусет@ц	может	мочь	V,несов,нп=наст,ед,изъяв,3-л
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	не [: нет] , у ме [: меня] [*] , нет , не умею .	ме	меня	уметь	V,несов,нп=наст,ед,изъяв,1-л
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	нет , это тосе [: тоже] [*] не умею .	тосе@ц	тоже	уметь	V,несов,нп=наст,ед,изъяв,1-л
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	воть будем игат [: играть] [*] .	игат@ц	играть	быть	V,несов,нп=буд,мн,изъяв,1-л
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	ого , пуиськи [: пёрышки] [*] и [: летят] [*] +...	пуиськи@ц	пёрышки	лететь	V,несов,нп=наст,мн,изъяв,3-л
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	ого , пуиськи [: пёрышки] [*] и [: летят] [*] +...	и@ц	летят	лететь	V,несов,нп=наст,мн,изъяв,3-л
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	итят [: летят] [*] .	итят@ц	летят	лететь	V,несов,нп=наст,мн,изъяв,3-л
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	никого [:: никто] [*] меня не тясёт [: трясёт] [*] .	тясёт@ц	трясёт	тясти	V,несов,пе=наст,ед,изъяв,3-л
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	у меня зётик [: носочек] [*] за [: зацепился] +...	зётик@ц	носочек	зацепляться	V,сов,нп=прош,ед,изъяв,3-л,муж
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	+, цепися [: зацепился] [*] .	цепися@ц	зацепился	зацепляться	V,сов,нп=прош,ед,изъяв,3-л,муж
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	адяй [: отдай] [*] , м , этот [:: это] [*] мой носочек .	адяй@ц	отдай	отдавать	V,сов,пе=ед,пов,2-л
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	+, цепи [: прицепился] [*] .	цепи@ц	прицепился	прицепляться	V,сов,нп=прош,ед,изъяв,2-л,муж
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	как Вэ [: Варя] [*] , Варя , Тося идти [:: лечить] [*] +...	Вэ@ц	Варя	идти	V,нп=инф,несов
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	как я идюи [: лечу] [*] Варю .	идюи@ц	лечу	лететь	V,несов,нп=наст,ед,изъяв,1-л
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	я не ибижаю [: обижаюсь] [*] .	ибижаю@ц	обижаюсь	ибижать	V,несов,пе=наст,ед,изъяв,1-л
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	дугому [: в другом] [*] мети [: месте] [*] .	мети@ц	месте	мести	V,несов,пе=ед,пов,2-л
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	я фикуту [: выключу] [*] эта [:: эту] [*] +...	фикуту@ц	выключу	выключать	V,сов,пе=буд,ед,изъяв,1-л
T226.cha	02;09.13	rus|ruslan-m|CHI|02;09.13|female|||Target_Child|||	когда там была дождя [: дождик] [*] .	дождя	дождик	быть	V,нп=прош,ед,изъяв,жен,несов
T235.cha	2;10.08	rus|ruslan-m|CHI|2;10.08|female|||Target_Child|||	ой , я не могу дотягать [: дотянуться] [*] .	дотягать	дотянуться	мочь	V,несов,нп=наст,ед,изъяв,1-л
T235.cha	2;10.08	rus|ruslan-m|CHI|2;10.08|female|||Target_Child|||	говорят [: говотир] [*] .	гово(р)ят	говотир	говорить	V,несов,пе=наст,мн,изъяв,3-л
T235.cha	2;10.08	rus|ruslan-m|CHI|2;10.08|female|||Target_Child|||	засмеюлись [: засмаялся] [*] .	(засме)юлись	засмаялся	засмеюлиться	V,сов,нп=ед,пов,2-л
T24.cha	1;01.21	rus|ruslan-m|NAN||female|||Nurse|||	кто–то выливалился [: вывалился] [*].	выливалился	вывалился	выливаливаться	V,нп=прош,ед,изъяв,муж,сов
T24.cha	1;01.21	rus|ruslan-m|NAN||female|||Nurse|||	попила водичка [: водички] [*] из бочки .	водичка	водички	попить	V,сов,пе=прош,ед,изъяв,жен
T24.cha	1;01.21	rus|ruslan-m|NAN||female|||Nurse|||	тут зайчик мимо прискакал [: проскакал] [*].	прискакал	проскакал	прискакивать	V,нп=прош,ед,изъяв,муж,сов
T24.cha	1;01.21	rus|ruslan-m|NAN||female|||Nurse|||	я люблю пирогов [: пироги] [*] !	пирогов	пироги	любить	V,несов,пе=наст,ед,изъяв,1-л
T242.cha	3;04.28	rus|ruslan-m|CHI|3;04.28|female|||Target_Child|||	и мы повесим новый капет [: пакет] [*] , а ?	капет@ц	пакет	повесить	V,сов,пе=буд,мн,изъяв,1-л
T242.cha	3;04.28	rus|ruslan-m|CHI|3;04.28|female|||Target_Child|||	мы его выбросили на уису [: улицу] [*] +//.	уису@ц	улицу	выбрасывать	V,сов,пе=прош,мн,изъяв,1-л
T242.cha	3;04.28	rus|ruslan-m|CHI|3;04.28|female|||Target_Child|||	оде , эээ , всё , я уме [: умер] [*] , ой !	уме	умер	умирать	V,сов,нп=прош,ед,изъяв,1-л,муж
T242.cha	3;04.28	rus|ruslan-m|CHI|3;04.28|female|||Target_Child|||	+, запустили шарик , такой будет секет [: секрет] [*] у нас .	секет@ц	секрет	запускать	V,сов,пе=прош,мн,изъяв,1-л
T245.cha	3;05.16	rus|ruslan-m|CHI|3;05.16|female|||Target_Child|||	и уде [: увидел] [*] [?] на окошке пушистую кошечку .	уде	увидел	увидеть	V,сов,пе=прош,ед,изъяв,3-л,муж
T245.cha	3;05.16	rus|ruslan-m|CHI|3;05.16|female|||Target_Child|||	может , я буду снима [: снимать] [*] .	снима	снимать	быть	V,несов,нп=буд,ед,изъяв,1-л
T246.cha	3;10.00	rus|ruslan-m|CHI|3;10.00|female|||Target_Child|||	пришла весна , у лисички избушка расстаа [: расстаяла] [*] .	расстаа@ц	расстаяла	приходить	V,сов,нп=прош,ед,изъяв,3-л,жен
T246.cha	3;10.00	rus|ruslan-m|CHI|3;10.00|female|||Target_Child|||	собаки испугались и убежа [: убежали] [*] .	убежа@ц	убежали	испугаться	V,сов,нп=прош,мн,изъяв,3-л
T246.cha	3;10.00	rus|ruslan-m|CHI|3;10.00|female|||Target_Child|||	ремед [: медведь] [*] заревел .	ремед@ц	медведь	зареветь	V,сов,нп=прош,ед,изъяв,3-л,муж
T246.cha	3;10.00	rus|ruslan-m|CHI|3;10.00|female|||Target_Child|||	ремен [:: медведь] [*] зареве [: заревел] [*] .	зареве@ц	заревел	зареветь	V,сов,нп=прош,ед,изъяв,3-л,муж
T246.cha	3;10.00	rus|ruslan-m|CHI|3;10.00|female|||Target_Child|||	ремен [:: медведь] [*] зареве [: заревел] [*] .	зареве@ц	заревел	зареветь	V,сов,нп=прош,ед,изъяв,3-л,муж
T26.cha	1;01.21	rus|ruslan-m|NAN||female|||Nurse|||	не ложись на краюшки [: краюшке] [*] .	краюшки	краюшке	ложиться	V,нп=ед,пов,2-л,несов
T27.cha	1;02.09	rus|ruslan-m|NAN||female|||Nurse|||	око , оконечко [: окошечко] [*] закроем .	оконечко	окошечко	закрывать	V=буд,мн,изъяв,1-л,сов
T31.cha	1;02.23	rus|ruslan-m|NAN||female|||Nurse|||	одеть [: надеть] [*] безрукавочку на тебя ?	одеть	надеть	одевать	V,пе=инф,сов
T31.cha	1;02.23	rus|ruslan-m|NAN||female|||Nurse|||	давай оденем [: наденем] [*] .	оденем	наденем	давать	V,пе=ед,пов,2-л,несов
T31.cha	1;02.23	rus|ruslan-m|NAN||female|||Nurse|||	оденем [: наденем] [*] безрукавочку ?	оденем	наденем	одевать	V,пе=буд,мн,изъяв,1-л,сов
T31.cha	1;02.23	rus|ruslan-m|NAN||female|||Nurse|||	Тося , што [: что] одела [: надела] [*] ?	одела	надела	одевать	V,пе=прош,ед,изъяв,жен,сов
T32.cha	1;02.23	rus|ruslan-m|NAN||female|||Nurse|||	платьюшко одето [: надето] [*] , да ?	одето	надето	одевать	V,пе=прош,ед,прич,кр,сред,сов,страд
T37.cha	1;03.06	rus|ruslan-m|NAN||female|||Nurse|||	на лапки носочки одень [: надень] [*] .	одень	надень	одевать	V,пе=ед,пов,2-л,сов
T37.cha	1;03.06	rus|ruslan-m|NAN||female|||Nurse|||	ну надо носочки одеть [: надеть] [*] .	одеть	надеть	одевать	V,пе=инф,сов
T37.cha	1;03.06	rus|ruslan-m|NAN||female|||Nurse|||	так , пошли-ка [: пойдём-ка] [*] .	пошли-ка	пойдём-ка	посылать	V=ед,пов,2-л,сов
T37.cha	1;03.06	rus|ruslan-m|NAN||female|||Nurse|||	и одевай [: надевай] [*] носочки .	одевай	надевай	одевать	V,пе=ед,пов,2-л,несов
T37.cha	1;03.06	rus|ruslan-m|NAN||female|||Nurse|||	можешь сама одеть [: надеть] [*] носочки ?	одеть	надеть	мочь	V,несов,нп=наст,ед,изъяв,2-л
T38.cha	1;03.06	rus|ruslan-m|NAN||female|||Nurse|||	пальцы прищимишь [: прищемишь] [*] там .	прищимишь	прищемишь	прищимить	V,несов,пе=буд,ед,изъяв,2-л
T40.cha	1;03.06	rus|ruslan-m|NAN||female|||Nurse|||	Тось , кого ката [: катаешь] [*] +...	ката	катаешь	катать	V,несов,пе=наст,ед,изъяв,2-л
T40.cha	1;03.06	rus|ruslan-m|NAN||female|||Nurse|||	ну , подо [: подожди] [*] +...	подо	подожди	подождать	V,сов,пе=ед,пов,2-л
T49.cha	1;04.25	rus|ruslan-m|NAN||female|||Nurse|||	ну–ка пойдём пос [: посмотрим] [*] +//.	пос	посмотрим	пойти	V,сов,нп=мн,пов,1-л
T49.cha	1;04.25	rus|ruslan-m|NAN||female|||Nurse|||	всё по–открыто [: открыто] [*] нафиг .	открыто	открыто	открывать	V=прош,ед,прич,кр,сред,сов,страд
T49.cha	1;04.25	rus|ruslan-m|NAN||female|||Nurse|||	что тут мог [: могло] [*] могло сорваться ?	мог	могло	мочь	V,несов,нп=прош,ед,изъяв,муж
T51.cha	1;06.05	rus|ruslan-m|NAN||female|||Nurse|||	расть [: растегнём] [*] , растегнём мы с тобой да ?	расть	растегнём	растегнуть	V,сов,пе=буд,мн,изъяв,1-л
T52.cha	1;06.05	rus|ruslan-m|NAN||female|||Nurse|||	скажи , скажи , мн [: много] [*] +//.	мн	много	сказать	V,сов,пе=ед,пов,2-л
T52.cha	1;06.05	rus|ruslan-m|NAN||female|||Nurse|||	посчи [: посчитай] [*] +//.	посчи	посчитай	посчитать	V,сов,пе=ед,пов,2-л
